link,category,category_from_list,title,address,price,agency,longtitude,latitude,area,landarea,purpose,buildingtype,elevator,floorcount,roomcount,bathroomcount,newbuilded,furniture,garagecount,repairstatus,balcony,guests,domophone,doorman,playground,coveredparking,outdoorparking,garage_tr_fl,househas,children,animal,utilitypayment,prepayment,description,distance_from_center
https://www.list.am/item/16888856,rent,apartments-long_term-rent,"2 սենյականոց բնակարան նորակառույց շենքում Արաբկիրում, 62 ք.մ., բարձր առաստաղներ, 5/15 հարկ",Երևան › Արաբկիր,1000.0,True,44.509193,40.210123,62.0,,,monolith,True,15,2,1,True,available,,euro,open,,False,False,False,False,False,False,[],allowed,agreement,notincluded,True,"LA01664Բնակարանը վերանորոգված է, համալրված անհրաժեշտ գույքով և տեխնիկայով:Խոհանոցը և սանհանգույցը սալիկապատված են:Ջեռուցումը իրականացվում է գազի կաթսայի միջոցով (Baxi),օդորակիչ, բաց պատշգամբ:Կոդ LA01664",3.2478387890510967
https://www.list.am/item/19578233,rent,apartments-long_term-rent,"Ընդարձակ 1 սենյականոց բնակարան Մարգարյան փողոցում, 55 ք.մ., 2/5 հարկ, կոսմետիկ վերանորոգում","Մարգարյան փողոց, Երևան",500.0,True,44.481046,40.206035,55.0,,,brick,False,5,1,1,False,available,,cosmetic,close,,False,False,False,False,False,False,"['tv', 'refrigerator', 'stove', 'washing-machine', 'water-heater']",agreement,notallowed,notincluded,True,Տրվում է վարձով 2 սենյականոց բնակարան Մարգարյան փողոցում։,3.915580403657419
https://www.list.am/item/20493119,rent,apartments-long_term-rent,"3 սենյականոց բնակարան Կոմիտասի պողոտայում, 108 ք.մ., բարձր առաստաղներ, 1/5 հարկ","Կոմիտասի պողոտա, Երևան",875.0,True,44.514702,40.20672,108.0,,,stone,False,5,3,1,False,available,,capital-reconstructed,open,,False,False,False,False,False,False,[],agreement,agreement,notincluded,True,Տրվում է վարձով/For rent/Сдается в арендуԿապիտալ վերանորոգվածԿահավորվածՏեխնիկաՋեռուցման համակարգՄանրամասների համար զանգահարել,2.849212180224744
https://www.list.am/item/19167927,rent,apartments-long_term-rent,"3 սենյականոց բնակարան նորակառույց շենքում Հյուսիսային պողոտայում, 120 ք.մ., 2 սանհանգույց","Հյուսիսային պողոտա, Երևան",2800.0,True,44.51538,40.184239,120.0,,,monolith,True,9,3,2,True,available,,designer-style,open,,False,True,False,False,False,False,"['tv', 'conditioner', 'wi-fi', 'parking-lot']",allowed,notallowed,notincluded,True,"3 սենյականոց բնակարան նորակառույց շենքում Հյուսիսային պողոտայում, 120 ք. Մ.,:2 ննջասենյակ,2 սանհանգույց,բաց պատշգամբ,ջեռուցման և հովացման համակարգ,գեղեցիկ տեսարան դեպի Հյուսիսային պողոտա։Շենքն ունի`ստորգետնյա կայանատեղիներ,առանձնացված բակային տարածք,մանկական խաղահրապարակ,անվտանգության ծառայություն:Շենքի ներսից ստորգետնյա մուտք (առանց փողոց դուրս գալու) դեպի Տաշիր Սթրիթ առևտրի կենտրոն։",0.37903054191062574
https://www.list.am/item/20090171,rent,apartments-long_term-rent,"3 սենյականոց բնակարան, Մուշ 2-2 թաղամաս, 64 ք.մ., 1/4 հարկ, կոսմետիկ վերանորոգում","Մուշ 2-2 թաղամաս, Գյումրի",375.0,False,43.812784,40.815943,64.0,,,monolith,False,4,3,1,False,available,,cosmetic,notavailable,,False,False,True,False,True,False,"['refrigerator', 'stove', 'washing-machine', 'water-heater']",notallowed,notallowed,notincluded,True,"Վարձով է տրվում 3 սենյականոց բնակարան կոմունալ բոլոր հարմարությունով։Ջեռուցման համակարգ, ինտերնետ, գույքով, տեխնիկայով, մոտակայքում առկա է խանութներ, տրանսպորտ։ պարտադիր դեպոզիտով:Բնակարանը ազատ կլինի ամսի 16-ին։Բնակարանը տրվում է միայն մինչև 5 անձից բաղկացած ընտանիքի։",92.16511048872111
https://www.list.am/item/20580943,rent,apartments-long_term-rent,"2 սենյականոց բնակարան նորակառույց շենքում Կուրղինյան փողոցում, 45 ք.մ., բարձր առաստաղներ, 3/5 հարկ","Կուրղինյան փողոց, Երևան",575.0,True,44.466781,40.168076,45.0,,,stone,True,5,2,1,True,available,,capital-reconstructed,open,,False,False,False,False,True,False,"['tv', 'conditioner', 'wi-fi', 'refrigerator', 'stove', 'washing-machine', 'water-heater']",allowed,notallowed,notincluded,True,Վարձով է տրվում 2 սենյականոց բնակարան նորակառույց շենքում` Կուրղինյան փողոցում։ Բնակարանում առկա է անհրաժեշտ կահույք և տեխնիկա`* Գազօջախ՝ էլեկտրական տարբերակ* Օդորակիչ* Լվացքի մեքենա* Սառնարան* Հեռուստացույց* ԹեյնիկՇենքը մոտ է գտնվում՝* Խանութներին* Մանկապարտեզին* ԴպրոցինՄանրամասների համար զանգահարել։,4.234438984597321
https://www.list.am/item/20197027,rent,apartments-long_term-rent,"3 սենյականոց բնակարան Դավիթ Հովհաննես փողոցում, 95 ք.մ., 2 սանհանգույց, եվրովերանորոգված","Դավիթ Հովհաննես փողոց, Երևան",1200.0,True,44.507288,40.200132,95.0,,,panel,True,13,3,2,False,available,,euro,close,,True,False,False,False,True,False,"['tv', 'conditioner', 'wi-fi', 'washing-machine']",agreement,notallowed,notincluded,True,Կոդ՝ ER-82302Վարձակալության է հանձնվում ընդարձակ և լուսավոր բնակարան Դավիթ Հովհաննեսի փողոցում։13/13 հարկ / քարե3 սենյակ / 2 սանհանգույցԵվրովերանորոգված / 95քմ մակերեսՎարձակալության է հանձնվում անհրաժեշտ գույքի և տեխնիկայի հետ միասին։,2.1822537836371882
https://www.list.am/item/18984630,rent,apartments-long_term-rent,"2 սենյականոց բնակարան Հին Երևանցու փողոցում, 44 ք.մ., 4/11 հարկ, դիզայներական ոճով վերանորոգված","Հին Երևանցու փողոց, Երևան",1100.0,True,44.513496,40.183508,44.0,,,panel,True,11,2,1,False,available,,designer-style,notavailable,,True,False,False,False,True,False,"['tv', 'conditioner', 'wi-fi', 'parking-lot', 'refrigerator', 'stove', 'washing-machine', 'water-heater']",agreement,notallowed,notincluded,True,"Կոդ A234Հին Երևանցի փողոցում Օպերայի հարևանությամբ վարձակալության է տրվոիմ 1 ` Ձևափոխած 2 սենյականոց հարմարավետ կահավորված բնակարան, որի ընդհանուր մակերեսը կազմում է 44 ք․մ․ և գտնվում է 11 հարկանի շենքի 4-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է, բոլոր սենյակները գեղեցիկ կահավորոած են, համալրված անրաժեշտ տեխնիկայով և պարագաներով, կա ինտերնետ: Մոտակայքում գտնվում են տարբեր խանութներ, բանկեր, հաստատություններ և ժամանցի վայրեր:Լրացուցիչ հարցերի դեպքում և հավելյալ տեղեկատվություն ստանալու համար կարող եք կապնվել մեզ հետ նշված հեռախոսահամարով ։Լավագույն մաղթանքներով Prime Real Estate անշարժ գույքի գործակալություն:Код А234Сдается на улице Старый Ереванци, возле Оперного театра, 1-а переделанная на 2ух комнатную, квартира, благоустроенная квартира с ремонтом, общей площадью 44 кв. М. И расположена на 4-ом этаже 11-ти этажного здания. Квартира полностью отремонтирована, все комнаты красиво обставлены, оборудованы необходимой бытовой техникой и аксессуарами, есть интернет. Поблизости находятся различные магазины, банки, учреждения и развлекательные заведения.В случае возникновения дополнительных вопросов и для получения дополнительной информации вы можете связаться с нами по указанному номеру телефона.С наилучшими пожеланиями, Prime Real Estate.",0.26682124819608394
https://www.list.am/item/19199563,rent,apartments-long_term-rent,"4 սենյականոց բնակարան նորակառույց շենքում Վազգեն Սարգսյանի փողոցում, 85 ք.մ., 3+ սանհանգույց","Վազգեն Սարգսյանի փողոց, Երևան",2100.0,True,44.512242,40.177487,85.0,,,monolith,True,10,4,3,True,available,,capital-reconstructed,notavailable,,False,False,False,False,False,False,[],allowed,agreement,notincluded,True,"Երևանի կենտրոնում՝ Հանրապետության հրապարակի հարևանությամբ՝ Վազգեն Սարգսյանի փողոցում, վարձակալության է տրվում 4 սենյականոց բնակարան: Գտնվում է 11 հարկանի շենքի 5-րդ հարկում:Ընդհանուր մակերես՝ 80 ք/մԱռաստաղի բարձրություն՝ 2,70 ք/մՈւնի՝3 ննջասենյակ` Անհատական սանհանգույցներովհյուրասենյակխոհանոց (studio)3 սանհանգույցԲնակարանը կապիտալ վերանորոգված է, ջեռուցումն իրականացվում է անհատական համակարգի միջոցով, հովացումը՝ օդորակիչի, հատակը սալիկապատ է, առկա է Wi-Fi ինտերնետային կապ:Շենքի բնակիչների համար առկա է մարզասրահ, լողավազան:Մոտակայքում են գտվում բոլոր անհրաժեշտ ենթակառուցվածքները՝ դպրոց, մանկապարտեզ, գեղեցկության սրահ, խանութներ, սրճարաններ:",0.4192882638512586
https://www.list.am/item/12868617,rent,apartments-long_term-rent,"2 սենյականոց բնակարան Եզնիկ Կողբացու փողոցում, 40 ք.մ., 6/11 հարկ, դիզայներական ոճով վերանորոգված","Yeznik Koghbaci Street, Երևան",800.0,True,44.508214,40.178729,40.0,,,panel,True,11,2,1,False,available,,designer-style,notavailable,,False,False,False,False,False,False,[],allowed,allowed,notincluded,True,"Վարձով է տրվում 2 սենյականոց բնակարան Կողբացի փողոցում, Մաշտոց - Ամիրյան հատվածումբնակարանում կա կոմունալ բոլոր հարմարություններըկա գույք, տեխնիկաբաքսիօդորակիչդեպոզիտԳործակալություն 50%Կոդ KEN2250",0.5293803206784169
